Character,script,ep_number,Book,total_number
Korra,[Sits down on a bench by the pool. Slightly sarcastically.] Looks like you guys settled right in.,7,1,7
Mako,"[Swimming toward Korra followed by Asami.] Pretty much, [Somewhat mockingly.] except someone forgot to ask her father if we could stay here.",7,1,7
Asami,"[Catches up to Mako.] Yeah, but I smoothed it over with him. It's easier to ask for forgiveness than permission.",7,1,7
Bolin,"[Gets out of the pool next to Korra with Pabu on his shoulder.] This is the greatest place in the world! Watch this, watch this. [Speaks in a more formal voice.] Fetch me my towel, good sir.",7,1,7
Butler,"Yes, Master ... Bolin. [Grabs a folded up towel and walks toward Bolin.]",7,1,7
Bolin,"[Pabu climbs onto Bolin's head.] Master Bolin! Ha, I love this guy. [Holds out his arms. To the butler.] Now pat me dry.",7,1,7
Butler,As you wish. [Rolls up the towel and pats down Bolin as he moves to allow him to do that.],7,1,7
Bolin,[Close-up of Bolin's head with a wet Pabu on top of it.] Don't forget Master Pabu.,7,1,7
Butler,"Wouldn't dream of it, sir. [Puts the towel over Pabu, who is still sitting on Bolin's head, and rubs him dry. A moment later, Pabu's fur becomes bushy as he squeaks. As the butler turns around, Bolin jumps into the water again right away and the butler looks annoyed.]",7,1,7
Korra,"[To Asami as she swims over to her; somewhat dismayed.] So, what do you have planned for us today? Let me guess, shopping, makeovers ...",7,1,7
Bolin,"[Jumps onto Mako, pushing him into the water; raising his hand while speaking in an excited tone.] Ooh, Ooh! I vote makeovers! [Mako returns the favor as he yelps.]",7,1,7
Asami,"[Climbs the ladder out of the pool, and turns her head to face Korra.] I had something a little more exciting in mind.",7,1,7
,"Cut to a race track and two Satomobiles racing are shown with a low angle shot. A high angle shot shows the whole circuit. Asami, Korra, Mako, and Bolin are sitting in the stands.",7,1,7
Asami,"Pretty cool, huh?",7,1,7
Korra,[Watches in amazement.] Way cooler than a makeover.,7,1,7
Asami,This is where Future Industries test-drives their Satomobiles. Ever been behind the wheel?,7,1,7
Korra,The only thing I know how to drive is a polar bear dog.,7,1,7
Asami,You want me to take you for a spin?,7,1,7
Korra,"[Turns to Asami, a close-up on Korra's face.] Let's do it!",7,1,7
,"Two Satomobiles stand next to each other. Korra puts on goggles, she is sitting behind Asami. A man is sitting in the other car. The race starts as a man in blue waves a white flag in front of the cars. Asami falls behind first, but smiles and catches up fast as Mako and Bolin cheer from the sidelines. She overtakes the other mobile, her back wheel grazing the wall. The man tries to catch up, but his front wheel and Asami's back wheel touch and his car starts swaying. Asami wins the race, stops the car and both girls get off.",7,1,7
Korra,[Thrilled.] That was amazing! I didn't think we'd make it.,7,1,7
Asami,"Well, you can't be afraid to mix it up sometimes.",7,1,7
Korra,"I gotta admit, I had you pegged wrong. I thought you were kind of ... prissy. [Raises hand; quickly.] Eh-No offense!",7,1,7
Asami,"[Laughing.] It's all right, people usually assume that I'm daddy's helpless little girl, but I can handle myself. I mean, I've been in self-defense classes since I was this high. [Indicates her height with a hand, holding it next to her waist.] My dad made sure that I would always be able to protect myself.",7,1,7
Korra,Smart guy.,7,1,7
,"The scene changes to the mansion. Korra, Asami, Mako and Bolin enter through the door.",7,1,7
Bolin,"Emergency, emergency coming through, beep beep! [Runs toward the bathroom with his hands covering his groin.]",7,1,7
Korra,"[To Asami.] Uh, is there another bathroom I can use?",7,1,7
Asami,"We have a lady's powder room upstairs, [Mako stands next to her.] first door on your right. You can freshen up in there.",7,1,7
Korra,Thanks.,7,1,7
,"Cuts to Korra washing and drying her hands. She notices and picks up the powder sponge and looks at it intensely, before smashing it onto her face. A powder cloud covers her face and Korra starts choking. As she leaves the room, she hears a voice.",7,1,7
Hiroshi Sato,"No, no! No, I assure you, everything is going exactly as planned. [Korra looks around and sneaks toward the room where the voice is coming from.] Uh-um, yes ... luckily, the Cabbage Corp investigation has bought us enough time. [Korra looks into the room through the keyhole and sees a person sitting in a chair.] Trust me, by the end of the week ... [The person stands up and Korra sees it is Mr. Sato.] we'll be ready to strike! [He hangs up and Korra hurries away.]",7,1,7
,Cuts to the butler spraying perfume all over Bolin and Mako and Asami standing behind them. Korra runs past them.,7,1,7
Asami,You're leaving? But I-I thought ...,7,1,7
Korra,"[Turns around.] Uh, sorry! I forgot, I'm supposed to airsit, I mean babybend, I-I mean babysit the airbender kids. See you later!",7,1,7
,Scene changes to outside at nighttime where Korra talks to Tenzin and Lin.,7,1,7
Tenzin,"So, you think Mr. Sato manufactured those gloves for the Equalists then framed Cabbage Corp?",7,1,7
Lin,"That's a bold accusation, but what proof do you have?",7,1,7
Korra,"Well, I don't exactly have proof, but I know what I heard. Sato's up to something.",7,1,7
Lin,He does have the means ... and he has a motive.,7,1,7
Tenzin,That's right.,7,1,7
Korra,[Curiously.] A motive? What is it?,7,1,7
Tenzin,"Twelve years ago, the Agni Kai Triad robbed Sato's mansion. A firebender killed Sato's wife during the break in.",7,1,7
Korra,[Saddened.] That's terrible.,7,1,7
Tenzin,It was tragic. It's possible that he's been harboring anti-bending sentiment all this time.,7,1,7
Lin,Maybe we should look at Mr. Sato a little more closely.,7,1,7
,"Cut to the door of the Sato mansion, which the butler opens. Korra, Lin, and Tenzin enter. Tenzin and Lin walk upstairs and Korra walks behind them, passing Mako and Asami.",7,1,7
Mako,[Stops Korra.] What's going on? Why are they asking Hiroshi more questions?,7,1,7
Korra,"I overheard him on the phone yesterday. Asami, I don't know how to tell you this, but I think your father might be involved with the Equalists.",7,1,7
Asami,[Incredulously.] What? I don't believe this. [Walks upstairs.],7,1,7
Mako,You spied on Hiroshi? [Korra takes a step back.] What's your problem? [Follows Asami.],7,1,7
,"Inside Hiroshi Sato's office, Lin and Tenzin stand in front of Hiroshi's desk.",7,1,7
Lin,"Mr. Sato, we just have a few follow-up questions for you.",7,1,7
Asami,[Opens the door and walks in.] My father is innocent. Just because we're not benders doesn't mean we support those awful Equalists. [Mako and Korra follow her into the office.],7,1,7
Hiroshi Sato,Equalists? [Asami stands next to him.] Is that what this is about? I can assure you I have nothing to do with those radicals.,7,1,7
Mako,"[To Korra.] Yeah, you don't know what you're talking about, Korra.",7,1,7
Korra,"[Pointing to Hiroshi Sato.] I overheard you on the phone. You said the Cabbage Corp investigation bought you time, and you're getting ready to strike. Explain that!",7,1,7
Hiroshi Sato,"[Laughs.] This is all just a misunderstanding, resulting from the young Avatar's overactive imagination. My number one competitor was knocked out of the game. It's providing me an opportunity to strike the market with a new line of Satomobiles. [Lin averts her eyes.] It's just business. Nothing nefarious. [Lin and Tenzin look at each other.]",7,1,7
Tenzin,"[Turning to Hiroshi Sato.] In order to put all suspicions to rest, might we have a look into your factories and warehouses?",7,1,7
Hiroshi Sato,"[Asami sighs in annoyance, hands on her hips, but Hiroshi Sato raises his hands to stop her from speaking further.] If you feel it's necessary, you're welcome to search all of Future Industries.",7,1,7
,Cuts to the Future Industries factory with a news reporter broadcasting.,7,1,7
News reporter,"[Narrating a newsreel.] Is it possible, presidents of Cabbage Corp and Future Industries both have Equalist ties, or did Hiroshi Sato frame his longtime rival, Lau Gan-Lan? [Korra stands beside Naga as she sniffs the boxes.] Or did Chief Beifong just plain arrest the wrong man? [Lin breaks open a box to see the contents.] So far the investigation has yielded no evidence to incriminate Sato. [Wider shot where metalbender cops check inside the boxes.]",7,1,7
,"Cut to the outside of the factory as the metalbender cops are lifted into the police airship while Lin and Tenzin watch. Korra rides in on Naga, and jumps down to approach them.",7,1,7
Korra,I can't believe we didn't find anything.,7,1,7
Lin,It would appear Hiroshi is innocent.,7,1,7
Asami,"[Approaches with Mako, annoyed.] Okay, you did your search. Now you can all leave.",7,1,7
Lin,[Glares at Asami.] Hmm.,7,1,7
,"Mako signals to Korra, and they move away to have a private conversation.",7,1,7
Mako,"So, I hope you're convinced now.",7,1,7
Korra,"No, I'm not! I don't care how cooperative Hiroshi is being, I know he's lying.",7,1,7
Mako,[Irritably.] Why are you doing this? Are you that jealous of me and Asami? [Pointing at Korra.],7,1,7
Korra,[Gasps.] What? [Shaking her head.] Don't be ridiculous! That has nothing to do with it!,7,1,7
Mako,"[Bluntly.] If you don't drop this, consider our friendship over.",7,1,7
Korra,I'm sorry. Hiroshi is not the man you think he is.,7,1,7
Mako,[Closing his eyes.] Hmph.,7,1,7
,"Mako walks away to Asami, one arm wrapping around her shoulder, and leaves as Korra sighs and turns away. A worker in the background slides the factory's door shut and turns to see Korra, the view changes to a close-up of his eyes. Cut to Lin and Tenzin standing near Korra, who strokes Naga as the worker approaches her. He places a note in Korra's hand as he walks past her. Korra, surprised, looks around to see who handed her the note, to no avail. She opens the note and reads it. Looking at it with surprise, she turns to Lin and Tenzin.",7,1,7
Korra,"[To Lin and Tenzin.] I think you guys should hear this. [Reading the note.] ""If you want to find the truth, meet me under the north end of the Silk Road Bridge at midnight."" [Camera closes up on Korra's face.]",7,1,7
,"Cut to the police airship over the bridge at nighttime as the camera moves down to see Korra, Lin and Tenzin walking to the north end.",7,1,7
Warehouse worker,"[Signaling to Korra and the others.] Psst. [Korra, Lin and Tenzin turn their heads.] Over here. [Warehouse worker comes out from hiding behind the pillar.] Listen, I joined the Equalists because I believed in what Amon said. I thought he could make life better for us nonbenders. But I didn't sign up for this ... [Turns his head toward them.] this war.",7,1,7
Lin,[Curiously.] What do you have on Hiroshi Sato?,7,1,7
Warehouse worker,He manufactured those gloves [Turns his body around.] for the Equalists.,7,1,7
Korra,[Confidently.] I knew it!,7,1,7
Warehouse worker,[Lifting up the collar to hide his face.] And there are rumors he's working on something even bigger. Some new kind of weapon.,7,1,7
Tenzin,[Lifting his hand in confusion.] We searched all of Future Industries and found nothing.,7,1,7
Warehouse worker,That's because he has a secret factory.,7,1,7
Korra,[Determined.] Where?,7,1,7
Warehouse worker,[Camera closes up to his face.] It's right underneath the Sato Mansion.,7,1,7
,"Korra, Lin and Tenzin gasp and look at him in shock. Cut to Korra, Lin and Tenzin on an airship.",7,1,7
Tenzin,Raiding the Sato Mansion is a risky move with Tarrlok breathing down your neck. If we're wrong ...,7,1,7
Lin,I know. I can kiss my job goodbye. But protecting Republic City is all I care about. We can't let Amon get his hands on this new weapon.,7,1,7
,"Cut to see the airship over the Sato mansion and switch to the brothers with Asami sitting down in the living room; Bolin is eating from the bowl of fruit while Mako takes out a LP from the cover and shows it to Asami. The metalbender cops burst into the living room, causing Bolin to raise his arms in fear.",7,1,7
Asami,[Surprised and angrily.] What are you doing here?,7,1,7
Lin,We have a reason to believe that there's a factory hidden below the mansion.,7,1,7
Asami,[Narrowing her eyes.] I think I would've noticed if there were a factory underneath my house. The lies you people come up with just to persecute my father.,7,1,7
Tenzin,Where is your father?,7,1,7
Asami,"In his workshop, behind the house.",7,1,7
,"Changes to the outside of Hiroshi's workshop, metalbender cops guard the area as they all walk toward the place. The metalbender cops burst into the workshop to find no one in the room.",7,1,7
Asami,[Searching.] Dad? Hello?,7,1,7
Officer,"[Approaches Lin.] Chief, the estate's been secured. No one has left the workshop since we arrived.",7,1,7
Lin,Perhaps we just couldn't see him leaving.,7,1,7
,"Lin walks into the middle of the room with her hands behind her back. She raises her leg and metalbends her left sole, removing it to expose her bare foot to perform her seismic sense.",7,1,7
Lin,There's a tunnel beneath the workshop running deep into the mountainside.,7,1,7
Asami,"[In disbelief; slightly angrily.] What? There's no tunnel. [Lin looks at the floor and metalbends to remove the metal layer, exposing the stairs and an elevator going down as they walk toward it.]",7,1,7
Bolin,[Whispering to Asami.] Do you think your dad knows about this tunnel?,7,1,7
Asami,[Confused at the discovery.] I don't understand. There must be an explanation.,7,1,7
Korra,[To Asami.] Maybe you don't know everything about your father. [Somewhat sympatheically.] I'm sorry.,7,1,7
Lin,"[To her officers.] Officers, [Pointing at the stairs.] into the tunnel. Be cautious. [Officers walk toward the stairs. Mako, Bolin and Asami start walking toward it until they are stopped by Lin.] Uh-uh, you three stay up here. [To Song.] Officer Song, keep an eye on them.",7,1,7
,"Song salutes her as Mako, Bolin and Asami look at the group. As they walk down, Korra turns her head and looks at the three in sadness as Mako turns his head away with guilt. The elevator takes the group down until it stops and they cautiously walk into a massive room that has posters of Amon hanging up. There are large robotic machines on the sides.",7,1,7
Lin,Not your average backyard workshop.,7,1,7
Korra,[Looking at the large robotic machines.] And I'm guessing those are the new weapons. [Lin and Tenzin also look at the machines.],7,1,7
Tenzin,"Hiroshi was lying all right, but where is he? [Suddenly, a metal wall shoots up to block the entrance. The three upstairs hear the noise.]",7,1,7
Bolin,What was that?,7,1,7
Mako,We need to get down there and see what's going on.,7,1,7
Song,[Strictly.] Absolutely not. You're staying put until the chief comes back.,7,1,7
Mako,"[Bolin and Mako look at each other, hatching a plan.] All right, we'll stay put. But could we wait outside or something? It's so dusty in this workshop.",7,1,7
Song,No! We're waiting right here!,7,1,7
Mako,"Okay, but don't blame me if I start sne- [Begins to sneeze.] if I start sn-sn-sneez- [Continues sneezing.]",7,1,7
Song,"What's your problem, bub?",7,1,7
Mako,"I'm about to- [Song approaches him and Mako firebends his sneeze, causing Song to move back and trip over by Bolin's earthbent rock. Bolin jumps on him and they tie him up to a barrel as he struggles.] Sorry pal, we know you were just doing your job.",7,1,7
Bolin,"Yeah, just stay put until the chief comes back. That's sounds very familiar doesn't it, why? Because you said it. [The three walk toward the stairs, but Mako stops Asami by putting his hands on her shoulders.]",7,1,7
Mako,"Asami, you should stay here. We'll check it out.",7,1,7
Asami,[Determined.] I have to find out the truth about my father.,7,1,7
Mako,"I understand. That's why I'm going down, to find out for you. Please.",7,1,7
Asami,"[Disappointed.] All right. [As the brothers walk down the stairs, Asami says to Mako.] Be careful.",7,1,7
,"Asami clasps her hands together tightly as she looks down with uncertainty. Meanwhile, down in the factory, Lin tries the bend the seemingly metal wall, but to no avail.",7,1,7
Hiroshi Sato,"[From the speakers.] I'm afraid you won't be able to metalbend that wall, Chief Beifong. [Green lights are turned on around them, causing them all to shield their eyes from the glares.] It's solid platinum. [The robotic machines come to life and approach the group.] My mecha tanks are platinum as well. [Changes to see Hiroshi Sato in the mecha tank.] Not even your renowned mother could bend a metal so pure.",7,1,7
Korra,"[Angrily and accusing.] Hiroshi, I knew you were a lying, no good Equalist! Come out here and-",7,1,7
Hiroshi Sato,"[Camera zooms out from a close-up of Hiroshi's face who is inside the tank.] And do what, young Avatar? Face the wrath of your bending? No. I think I'll fight from inside here where my odds are a little more ... equal.",7,1,7
Lin,That source was a set-up! You lured us down here! [The mecha tanks come closer to surround the benders.],7,1,7
Hiroshi Sato,Guilty as charged.,7,1,7
,"The battle begins when Hiroshi Sato shoots out a grappler to capture them. Lin, Korra and Tenzin evade it. Another mecha tank attacks the metalbender cops but they dodge, shooting out cables to wrap around its arms, holding it down. Two more metalbender cops run up and metalbend to hold off another mecha tank. Lin runs forward, dodging the grappler and earthbends herself up into the air. She metalbends daggers from her wrist armor, and lands onto the head of the mecha tank. She breaks the glass by stabbing the front, missing the Equalist inside who dodges. She keeps stabbing, making the machine move backward and fall over. While Lin attacks the mecha tank, Hiroshi Sato moves his own mecha tank forward as Korra firebends to no effect. Tenzin airbends Hiroshi Sato back and Korra as looks over her shoulder at the unexpected help. As he airbends, the metalbender cops have a difficult time holding the other mecha tanks down, their cable spools starting to spark and overheat with the effort. As they are pulled forward by the tank, they raise the earth with their bending in an attempt to find more foothold to withstand the pull. The mecha tanks wrap the cables around their arms and conduct electricity, electrocuting the officers until they lose consciousness and release their grip. Lin attempts to deliver another blow, but is grabbed from behind with a grappler, knocking her forward and against a metal support beam. She is subsequently flung across the room and lands hard on the ground, where she remains unconscious as well. Tenzin and Korra help each other as they use their airbending and firebending respectively to push Hiroshi Sato's mecha tank into the corner. Furious, Hiroshi Sato shoots a grappler in Korra's direction. Korra repeatedly back flips to avoid the attack. Having moved out of the path of the weapon, she earthbends a rock out of the ground and launches it at Hiroshi. At that moment, she is grabbed and shoved forward by another mecha tank's grappling hook, knocking her unconscious by slamming her against a large metal pipe.",7,1,7
Tenzin,Korra!,7,1,7
,"Tenzin uses his airbending to cushion Korra's fall, who grunts as she connects with the floor. Now alone, Tenzin is fighting off Hiroshi Sato and an Equalist using his airbending and an air wheel to evade their attacks. He jumps up, but Hiroshi Sato shoots bolas combined with an electric disk. Tenzin is ensnared with it and grunts in pain as he is electrocuted. He roughly lands on the ground, unconscious. Hiroshi Sato exits his mecha tank and climbs down. As Hiroshi lets his gaze travel over the warehouse, the scene changes between a close-up image of an unconscious Lin, Tenzin, and Korra, before changing back to a frontal shot of Hiroshi.",7,1,7
Hiroshi Sato,"Well, I'd say that was a near flawless test run. [To the Equalists, pointing to the unconscious people.] Load everyone into the transports and deliver them to Amon!",7,1,7
,"A hole is earthbent from the ground, and Bolin pops up from underneath along with Mako. They look around until they notice with horror the metalbenders being dragged into the trucks.",7,1,7
Bolin,Oh no.,7,1,7
Mako,"Korra was right. We gotta do something, quick!",7,1,7
,"Bolin and Mako sneak around the factory, getting closer to Tenzin, Lin and Korra. Mako hoists Korra onto his back, while Bolin does the same with Tenzin after untying the bola wrapped around him. They are about to grab Lin to drag her away as well, but are spotted by Hiroshi Sato and the Lieutenant.",7,1,7
Hiroshi Sato,"Not so fast, boys. [Conducts electricity from his gloves.]",7,1,7
Bolin,"[Mako drops Lin's arm. Bolin does the same and uses Tenzin's arms to express his surprise.] Hello, Mr. Sato. Wow! What a really swell, scary factory you have here under your giant mansion.",7,1,7
Mako,"[Close-up of his face; angrily to Hiroshi Sato.] Sponsoring our team, supporting the Avatar. It was all just a big cover.",7,1,7
Hiroshi Sato,"Yes, and the most difficult part was watching my daughter traipse around with a firebending street rat like you! [Conducts electricity from the gloves as he and the Lieutenant approach them.]",7,1,7
Asami,"Dad, stop! [Hiroshi turns around in surprise. Asami closes her eyes and turns her head away before looking back at her father in sadness.] Why?",7,1,7
Hiroshi Sato,"[Ashamed.] Sweetie, I wanted to keep you out of this as long as I could. [Korra regains consciousness.] But now you know the truth, please, forgive me. [Close-up on Asami.] These people, [Pointing at the Fire Ferrets.] these benders. They took away your mother, the love of my life. They've ruined the world, but with Amon we can fix it and build a perfect world together. We can help people like us, everywhere! [Takes off one of his gloves and offers it to Asami.] Join me, Asami.",7,1,7
,"Asami looks at her father with uncertainty, but she hesitatingly steps toward him. She looks at the glove with fear, trembling as she reaches for it. The Fire Ferrets look at her in sadness as she grabs the glove off her father, slipping her hand into the glove.",7,1,7
Mako,[In disbelief.] No ...,7,1,7
Asami,"[To her father.] I love you, Dad.",7,1,7
,"She electrocutes her father until he loses consciousness, revealing it was a ruse. The Lieutenant attacks her, but she uses self-defense techniques to easily defeat him with his own electrified kali stick. Mako and Korra are stunned at the fact that she took them down so easily by herself. Lin regains consciousness as the mecha tanks notice them.",7,1,7
Mako,[To everyone.] Let's get out of here!,7,1,7
,"They all run to the large hole Mako and Bolin came in. Right before the mecha tanks attempt to capture them, Bolin earthbends the hole shut. The scene changes to the police airship floating away from the Sato mansion. Asami looks down at her former home in dismay as the camera switches to Lin lying down with Tenzin at her side.",7,1,7
Lin,"[To Tenzin.] My metalbenders are on their way to Amon, and it's all my fault. Tarrlok's right, I've failed as chief. First thing in the morning, I'm handing in my resignation.",7,1,7
Tenzin,[Adamantly.] No! You can't give up like this!,7,1,7
Lin,"[Sitting up.] I'm not giving up. I'm gonna find my officers and take Amon down. But I'm gonna do it my way, outside the law. [Tenzin looks at her with concern.]",7,1,7
Mako,"[Approaches Korra, apologetically.] I'm sorry I didn't believe you. But Asami's dad being an Equalist is not an easy thing to believe. Even now.",7,1,7
Korra,I know. I'm sorry this whole thing happened.,7,1,7
Mako,So ... does your offer to live in the Air Temple still stand?,7,1,7
Korra,"[Smiling.] Of course it does. And Asami's welcome, too.",7,1,7
Mako,[Gratefully.] Thank you so much.,7,1,7
Korra,"[Places her hand on Mako's shoulder.] After everything she's been through, she's going to need you, Mako.",7,1,7
,Mako nods his head and walks toward Asami to comfort her. Korra looks at them in sadness before turning away as the airship floats above the city. Cut to credits.,7,1,7
,"The episode opens with a ferry sailing toward Air Temple Island. Cut to a frontal shot of Bolin, leaning slightly over the railing with Pabu perched on his shoulder. He looks toward the island with an excited look upon his face. Mako and Asami, her arm wrapped around Mako, are standing behind Bolin, watching the island as well. Cut to a far off shot of Air Temple Island and the ferry pulls up at the port. The scene switches to a back shot of Korra, Jinora, Ikki, and Meelo standing on the dock, waving at the people on the boat. Naga stands on the dock as well.",8,1,8
Ikki,[Excitedly.] You're finally here! [One Air Acolyte throws the anchor in the water while two others let down the ramp to allow the passengers to get off the boat.] Welcooome to Air Temple Island. [Close-up of Ikki's face.] Your new home.,8,1,8
Meelo,"[Cut to Meelo.] Yes, welcome to [Pointing at himself.] my domain.",8,1,8
Bolin,"[Frontal shot; Bolin is carrying his duffel bag over his right shoulder, and Mako and Asami descend the ramp behind him.] Well, aren't you sweet, [Slightly leans forward.] little monk child.",8,1,8
,Pabu jumps down from Bolin's shoulder and runs in between Meelo's legs before running to the right. Meelo bends over and looks through his legs at Pabu. He stands erect again.,8,1,8
Meelo,[Pointing at Pabu.] What's that fuzzy creature?,8,1,8
,"Pabu and Naga sniff each other's nose; Pabu erects himself on his hind legs, and gently touches Naga's nose with his left front paw.",8,1,8
Jinora,[Voice-over.] That is a fire ferret. [Frontal shot of her and Meelo as Jinora recites the facts with a finger up in the air.] An arboreal mammal common [Turns toward her brother.] to the bamboo forest of the central Earth Kingdom.,8,1,8
Ikki,[Jumps out from behind Jinora; gasps in delight.] He's cuuuute!,8,1,8
,"Ikki squees and runs off screen toward Pabu. Meelo airbends upward while an irritated Jinora plugs her ears by putting a finger into each of her ears to silence Ikki's shrieks. Cut to Pabu who hisses at Ikki and runs under Naga. The girl follows suit as she continues giggling with joy. Meelo descends down to jump on Naga's head, grabbing and pulling the polar bear dog's ears backward.",8,1,8
Meelo,[To Naga.] Yip yip! Fly sky bison! Fly!,8,1,8
,Naga does not react to Meelo's antics and Ikki continues to chase Pabu around the dock. Cut to Korra looking at the children.,8,1,8
Mako,[Walks toward Korra.] Thanks for sending the Air Acolytes to help us with the move.,8,1,8
Asami,"[Agreeing with Mako.] Yes, they've been amazing. [Places a hand up with praise.] Such tireless workers.",8,1,8
,Cut to a side view of the boat as are seen two Air Acolytes carrying several trunks of luggage. They are heard them grunting as they walk down the ramp.,8,1,8
Korra,"[Looking at the large stack of cases in surprise as the pair carry them off the boat.] Oh, I thought you were only bringing a [The pair of Air Acolytes stumble a bit causing the luggage to threaten to topple onto her while Korra reacts slightly by shrieking that word but the Air Acolytes manage to balance themselves in time.] few things.",8,1,8
Mako,"Trust me, [The Air Acolytes re-orientate themselves and they walk toward the island.] it could've been worse.",8,1,8
Korra,"No problem, everyone here wants you guys to feel welcome.",8,1,8
,"Cut to the gates of Air Temple Island. Naga playfully chases Pabu around as the group strolls behind them and walks toward the temple. Ikki runs around with her hands outstretched as she sings and hums gleefully. Cut to a side view shot of Asami, Mako, and Jinora. Asami looks down at Meelo with confusion as he grins at her.",8,1,8
Meelo,"You're pretty, can I have some of your hair? [Holds out his hand.]",8,1,8
Mako,[To Asami; jokingly while winking.] Looks like I have some competition.,8,1,8
Ikki,[Lifts her hands up as they stopped walking.] And now for the grand tour. [Speaks quickly as she points at each area.] The flying bison sleep in those caves down there. [Turns around.] And that's the temple Grandpa Aang built. [Turns around.] And that's the greenhouse where we grow the vegetables we eat. [Turns around to grin at them. The teens turn their heads back toward Ikki; cut to a close up of the airbender with a wide smile on her face.],8,1,8
Bolin,"I have a couple of questions. [Ikki stop smiling and looks at him as he tries to mimic her quick talk.] Is this an all vegetarian island? [Points at a direction.] Is that where you train airbending? [Grabs his shirt.] Do we have to wear Air Acolyte clothes? Do we each get our own sky bison? And final question, how many trees are on this island? [Bends down to look at Ikki.]",8,1,8
Ikki,[Thinks and answers quickly with her hands behind her back while rocking back and forth slightly.] Yes. Yes. No. No. Ten thousand five hundred and fifty two. [Long pause from the others as they blink at Ikki in surprise.],8,1,8
Mako,"So, where are we going to be staying?",8,1,8
Meelo,You're a boy. [They turn toward Meelo.] Boys have to stay on the boys' side.,8,1,8
Jinora,[Puts her hands together.] I'd be happy to show you to the men's dormitory. [Jinora and Mako walk away.],8,1,8
Bolin,I'm a boy! [Follows the pair.],8,1,8
Korra,"Meelo, why don't you go with the boys too?",8,1,8
Meelo,"[Looks up at Asami and moves away.] We shall meet again soon, beautiful woman. [Runs after the brothers and Jinora.]",8,1,8
Korra,[To Asami as they walk.] Ikki and I will take you to your room this way.,8,1,8
,"Scene changes to show the outside of the girls dormitory before changing to the corridors where Korra, Asami and Ikki are walking.",8,1,8
Ikki,"[To Asami.] Asami, did you know Korra likes Mako?",8,1,8
,"Korra stops in her tracks as her eyes grow wide open in horror. Cut to the inside of her head as her face contorts in a dramatic background where Korra inhumanly screams at Ikki in horror, fire burning and lightning striking behind her before returning to reality. Korra looks around with fear as Asami looks uncomfortable with the topic.",8,1,8
Asami,"[Surprised.] Oh. [Shifts her eyes around.] Uh, no. I wasn't completely aware of that.",8,1,8
,"Korra grabs Asami's arm and drags her further along the corridor. Back shot of Korra as she slides open the doors, and moves to the side, smiling and gesturing to Asami in an inviting manner to enter the room. As Asami enters, Ikki walks up to the room to follow them, but Korra goes in after Asami and turns around, glaring at Ikki while slamming the doors shut in front of her, making her step back.",8,1,8
Ikki,[Surprised and angrily.] Hey!,8,1,8
Korra,"[From behind the door; just as angrily.] Run along, Ikki!",8,1,8
,"Ikki looks down and moans sadly. Suddenly, she looks up and acts out like an angry cat with glowing white eyes, making some cat noises as she claws at the air before growling at the doors and folding her arms in annoyance while looking away. Inside the room, Korra sighs and scratches her head awkwardly.",8,1,8
Korra,"[Sighs.] So, [Walks toward Asami.] here's your room. [Camera pans to show the room.] I know this is a little rustic compared to what you're used to.",8,1,8
Asami,"I think it's really charming [Walks to the window.] and the best part about it, nothing here reminds me of my father. [Turns her head to look at Korra.] Thank you for your hospitality. [Someone bangs on the door.]",8,1,8
Korra,"[Annoyed; Asami's eyes widen at Korra's outburst.] Ikki! I swear [Turns slightly to face and point at the door.] if you don't leave us alone, I'm gonna- [Tenzin slides open the doors. Cut to Korra's blanched out face; slightly higher pitched tone.] Uh, Tenzin! [Closes eyes in embarrassment; attempt at normal voice.] Come right in.",8,1,8
Tenzin,"[Side-shot as he walks toward them.] Good day, ladies. Asami, welcome to the island.",8,1,8
Asami,[Bowing down at Tenzin.] Thank you for having me. [Tenzin bows down to her.],8,1,8
Tenzin,"[To Korra.] Beifong's replacement, Saikhan, is going to be inducted as the new Chief of Police later. I think we should both be there.",8,1,8
,"Cut to the outside of the Police Headquarters, a large crowd standing at the front with Saikhan at the podium.",8,1,8
Saikhan,"It was an honor serving under Chief Beifong for so many years [Cut to a close-up on him along with the councilmen and policemen.] and I wish her a speedy recovery. It is with great humility that I take her place as the new Chief of Police. Republic City is facing a threat like none the world has ever seen but there is one man who's been effective against Amon's revolution, Councilman Tarrlok. [Tarrlok nods his head as reporters take his picture.] That is why for all matters involving the Equalists, I will report directly to him. [Korra and Tenzin turn their heads to Tarrlok with surprise.] The police department will lend any and all available resources to the councilman and his task force [Slams his fist down on the podium.] until we quell this insurgency.",8,1,8
Korra,[To Tenzin.] What is that weasel snake Tarrlok up to now?,8,1,8
,"They look at Tarrlok with disdain, and the camera cuts to a shot of the council chairman. Cut to an overview shot of the police headquarters, before focusing on Tarrlok again. As the crowd disperses after the inauguration, he gives the Fire Nation councilwoman a hands, who leaves with the other council members; he bows after them in their direction.",8,1,8
Tenzin,"[To Tarrlok; accusingly.] Tarrlok, I don't know what you did to get Chief Saikhan in your pocket but I highly doubt it was legal.",8,1,8
